Trade.Agreement,HBTypeCode,Language,NorthSouth,Number,NumberMS,Sectoral,TypeDepth,TypeMemb,US_Partners,WTOListed,WTOTypeCode,Year,reg_africa,reg_americas,reg_asia,reg_europe,reg_intercontinental,reg_oceania,Nombre de normes,IAE,regioncon
1049_Japan UK_2020,,,1,1049,,,,,1,,,2020,,,,,,,85,4,Intercontinental
1051_Cote d'Ivoire UK_2020,,,2,1051,,,,,0,,,2020,,,,,,,16,1,Intercontinental
1052_Kenya UK_2020,,,2,1052,,,,,0,,,2020,,,,,,,50,3,Intercontinental
1053_Moldova UK_2020,,,2,1053,,,,,0,,,2020,,,,,,,88,5,
1056_UK Ukraine_2020,,,2,1056,,,,,0,,,2020,,,,,,,83,4,
1058_Cameroon UK_2020,,,2,1058,,,,,0,,,2020,,,,,,,22,2,Intercontinental
1059_Canada UK_2020,,,1,1059,,,,,1,,,2020,,,,,,,19,2,
1061_Israel Ukraine_2019,,,3,1061,,,,,1,,,2019,,,,,,,40,4,Intercontinental
1062_Eastern and Southern Africa States (ESA) EC Interim EPA_2009,,,2,1062,,,,,0,,,2009,,,,,,,55,3,Intercontinental
1063_Association of Southeast Asian Nations (ASEAN) Hong Kong_2018,,,3,1063,,,,,1,,,2018,,,,,,,18,1,Asia
1064_Ecuador Guatemala_2011,,,3,1064,,,,,1,,,2011,,,,,,,16,2,Americas
1065_Canada Israel_2018,,,2,1065,,,,,1,,,2018,,,,,,,52,4,
1068_El Salvador Panama_1976,,,3,1068,,,,,1,,,1976,,,,,,,0,1,
1069_El Salvador Panama_1986,,,3,1069,,,,,1,,,1986,,,,,,,0,1,
1070_Colombia MERCOSUR services_2018,2.0,2.0,3,1070,5.0,1.0,,3.0,1,0.0,,2018,0.0,1.0,0.0,0.0,0.0,0.0,14,1,Americas
1071_Namibia Zimbabwe_2009,,,3,1071,,,,,0,,,2009,,,,,,,0,1,
1073_Brazil Chile_2018,,,3,1073,,,,,1,,,2018,,,,,,,95,5,Americas
1074_Chile China_2017,,,3,1074,,,,,1,,,2017,,,,,,,19,2,
1079_Group of Three Protocol_2010,,,3,1079,,,,,1,,,2010,,,,,,,0,1,
1080_Chile Ecuador_2020,,,3,1080,,,,,1,,,2020,,,,,,,84,5,Americas
1081_Australia UK_1957,,,1,1081,,,,,1,,,1957,,,,,,,0,1,
1082_Iceland Liechtenstein Norway UK_2021,,,1,1082,,,,,0,,,2021,,,,,,,117,5,Europe
1084_Armenia Belarus Kazakhstan Kyrgyzstan Russia (EAEU) Serbia_2019,,,3,1084,,,,,0,,,2019,,,,,,,4,1,Intercontinental
109_Belarus Russia (Union State)_1999,3.0,1.0,3,109,2.0,0.0,3.0,1.0,0,0.0,,1999,0.0,0.0,0.0,1.0,0.0,0.0,7,1,Europe
11_Albania Macedonia_2002,2.0,1.0,3,11,2.0,0.0,2.0,1.0,0,1.0,2,2002,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
112_Belarus Serbia_2009,,1.0,3,112,2.0,0.0,2.0,1.0,0,0.0,,2009,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
114_Belarus Ukraine_1992,2.0,1.0,3,114,2.0,0.0,2.0,1.0,0,1.0,2,1992,0.0,0.0,0.0,1.0,0.0,0.0,3,1,Europe
115_Belize Guatemala_2006,,1.0,3,115,2.0,0.0,1.0,1.0,0,0.0,,2006,0.0,1.0,0.0,0.0,0.0,0.0,7,1,Americas
116_Bhutan India_2006,,1.0,3,116,2.0,0.0,2.0,1.0,0,1.0,2,2006,0.0,0.0,1.0,0.0,0.0,0.0,1,1,Asia
117_Bhutan India_1972,2.0,1.0,3,117,2.0,0.0,2.0,1.0,0,0.0,,1972,0.0,0.0,1.0,0.0,0.0,0.0,0,1,Asia
119_Bolivia Chile_1993,1.0,2.0,3,119,2.0,0.0,1.0,1.0,0,0.0,,1993,0.0,1.0,0.0,0.0,0.0,0.0,15,2,Americas
12_Albania Moldova_2003,2.0,1.0,3,12,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,7,1,Europe
121_Bolivia Cuba_2000,1.0,2.0,3,121,2.0,0.0,1.0,1.0,0,0.0,,2000,0.0,1.0,0.0,0.0,0.0,0.0,3,1,Americas
123_Bolivia MERCOSUR_1996,2.0,2.0,3,123,5.0,0.0,2.0,3.0,0,0.0,,1996,0.0,1.0,0.0,0.0,0.0,0.0,13,2,Americas
124_Bolivia Mexico_1994,2.0,2.0,3,124,2.0,0.0,2.0,1.0,0,0.0,,1994,0.0,1.0,0.0,0.0,0.0,0.0,37,2,Americas
125_Bolivia Paraguay_1994,,2.0,3,125,2.0,0.0,1.0,1.0,0,0.0,,1994,0.0,1.0,0.0,0.0,0.0,0.0,2,1,Americas
126_Bolivia Uruguay_1991,1.0,2.0,3,126,2.0,0.0,1.0,1.0,0,0.0,,1991,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
128_Bosnia and Herzegovina Bulgaria_2003,2.0,1.0,3,128,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
129_Bosnia and Herzegovina Croatia_2000,2.0,1.0,3,129,2.0,0.0,2.0,1.0,0,1.0,2,2000,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
13_Albania Romania_2003,2.0,1.0,3,13,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,10,1,Europe
130_Bosnia and Herzegovina EC SAA_2008,,1.0,2,130,28.0,0.0,2.0,3.0,0,0.0,,2008,0.0,0.0,0.0,1.0,0.0,0.0,30,2,Europe
131_Bosnia and Herzegovina Macedonia_2002,2.0,1.0,3,131,2.0,0.0,2.0,1.0,0,1.0,2,2002,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
132_Bosnia and Herzegovina Moldova_2002,2.0,1.0,3,132,2.0,0.0,2.0,1.0,0,1.0,2,2002,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
133_Bosnia and Herzegovina Romania_2003,2.0,1.0,3,133,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
134_Bosnia and Herzegovina Serbia Montenegro_2002,2.0,1.0,3,134,2.0,0.0,2.0,1.0,0,0.0,,2002,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
135_Bosnia and Herzegovina Slovenia_2001,2.0,1.0,3,135,2.0,0.0,2.0,1.0,0,1.0,2,2001,0.0,0.0,0.0,1.0,0.0,0.0,7,1,Europe
136_Bosnia and Herzegovina Turkey_2002,2.0,1.0,3,136,2.0,0.0,2.0,1.0,0,1.0,2,2002,0.0,0.0,1.0,1.0,1.0,0.0,8,1,Intercontinental
138_Brazil Cuba_1989,1.0,2.0,3,138,2.0,0.0,1.0,1.0,0,0.0,,1989,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
138a_Brazil Cuba_1992,,5.0,3,138a,2.0,0.0,1.0,1.0,0,0.0,,1992,0.0,1.0,0.0,0.0,0.0,0.0,0,1,
139_Brazil Cuba_1999,1.0,2.0,3,139,2.0,0.0,1.0,1.0,0,0.0,,1999,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
14_Albania Serbia_2004,2.0,1.0,3,14,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,7,1,Europe
140_Brazil Guyana_2001,1.0,2.0,3,140,2.0,0.0,1.0,1.0,0,0.0,,2001,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
141_Brazil Mexico_2002,1.0,2.0,3,141,2.0,0.0,1.0,1.0,1,0.0,,2002,0.0,1.0,0.0,0.0,0.0,0.0,5,1,Americas
142_Brazil Peru_1993,1.0,2.0,3,142,2.0,0.0,1.0,1.0,0,0.0,,1993,0.0,1.0,0.0,0.0,0.0,0.0,2,1,Americas
143_Brazil Suriname_2005,1.0,2.0,3,143,2.0,0.0,1.0,1.0,0,0.0,,2005,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
144_Brazil Uruguay_1986,1.0,2.0,3,144,2.0,0.0,1.0,1.0,0,0.0,,1986,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
146_Brunei Japan_2007,,1.0,2,146,2.0,0.0,2.0,1.0,0,1.0,2,2007,0.0,0.0,1.0,0.0,0.0,0.0,34,2,Asia
147_Bulgaria Czech Republic_1995,,1.0,3,147,2.0,,2.0,1.0,0,1.0,,1995,0.0,0.0,0.0,1.0,0.0,0.0,4,1,
148_Bulgaria EC_1993,2.0,1.0,2,148,13.0,0.0,2.0,3.0,0,1.0,2,1993,0.0,0.0,0.0,1.0,0.0,0.0,52,3,Europe
149_Bulgaria EFTA_1993,2.0,1.0,2,149,8.0,0.0,2.0,3.0,0,1.0,2,1993,0.0,0.0,0.0,1.0,0.0,0.0,9,1,Europe
15_Albania Turkey_2006,,1.0,3,15,2.0,0.0,2.0,1.0,0,1.0,2,2006,0.0,0.0,1.0,1.0,1.0,0.0,6,1,Intercontinental
150_Bulgaria Estonia_2001,2.0,1.0,3,150,2.0,0.0,2.0,1.0,0,1.0,2,2001,0.0,0.0,0.0,1.0,0.0,0.0,11,1,Europe
151_Bulgaria Finland_1974,2.0,1.0,2,151,2.0,0.0,2.0,1.0,0,1.0,2,1974,0.0,0.0,0.0,1.0,0.0,0.0,2,1,Europe
152_Bulgaria Israel_2001,2.0,1.0,3,152,2.0,0.0,2.0,1.0,1,1.0,2,2001,0.0,0.0,1.0,1.0,1.0,0.0,7,1,Intercontinental
153_Bulgaria Latvia_2002,2.0,1.0,3,153,2.0,0.0,2.0,1.0,0,1.0,2,2002,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
154_Bulgaria Lithuania_2001,2.0,1.0,3,154,2.0,0.0,2.0,1.0,0,1.0,2,2001,0.0,0.0,0.0,1.0,0.0,0.0,10,1,Europe
155_Bulgaria Macedonia_1999,2.0,1.0,3,155,2.0,0.0,2.0,1.0,0,1.0,2,1999,0.0,0.0,0.0,1.0,0.0,0.0,9,1,Europe
156_Bulgaria Moldova_2004,2.0,1.0,3,156,2.0,0.0,2.0,1.0,0,1.0,2,2004,0.0,0.0,0.0,1.0,0.0,0.0,9,1,Europe
157_Bulgaria Serbia_2003,2.0,1.0,3,157,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
158_Bulgaria Slovakia_1995,,1.0,3,158,2.0,,2.0,1.0,0,1.0,,1995,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
159_Bulgaria Slovenia_1996,,1.0,3,159,2.0,,2.0,1.0,0,1.0,,1996,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
16_Algeria EC_1976,1.0,1.0,2,16,10.0,0.0,1.0,3.0,0,1.0,2,1976,1.0,0.0,0.0,1.0,1.0,0.0,4,1,Intercontinental
160_Bulgaria Turkey_1998,2.0,1.0,3,160,2.0,0.0,2.0,1.0,0,1.0,2,1998,0.0,0.0,1.0,1.0,1.0,0.0,6,1,Intercontinental
161_Canada Chile_1996,2.0,1.0,2,161,2.0,0.0,2.0,1.0,1,1.0,2,1996,0.0,1.0,0.0,0.0,0.0,0.0,76,5,Americas
162_Canada Colombia_2008,,1.0,2,162,2.0,0.0,2.0,1.0,1,1.0,2,2008,0.0,1.0,0.0,0.0,0.0,0.0,89,5,Americas
163_Canada Costa Rica_2001,2.0,1.0,2,163,2.0,0.0,2.0,1.0,1,1.0,2,2001,0.0,1.0,0.0,0.0,0.0,0.0,48,4,Americas
164_Canada EFTA_2008,,1.0,1,164,5.0,0.0,2.0,3.0,1,1.0,2,2008,0.0,1.0,0.0,1.0,1.0,0.0,10,1,Intercontinental
165_Canada Israel_1996,2.0,1.0,2,165,2.0,0.0,2.0,1.0,1,1.0,2,1996,0.0,1.0,1.0,0.0,1.0,0.0,9,1,Intercontinental
166_Canada Jordan_2009,,1.0,2,166,2.0,0.0,2.0,1.0,1,1.0,1,2009,0.0,1.0,1.0,0.0,1.0,0.0,59,5,Intercontinental
167_Canada New Zealand_1981,1.0,1.0,1,167,2.0,0.0,1.0,1.0,1,0.0,,1981,0.0,1.0,0.0,0.0,1.0,1.0,2,1,Intercontinental
168_Canada Peru_2008,,1.0,2,168,2.0,0.0,2.0,1.0,1,1.0,2,2008,0.0,1.0,0.0,0.0,0.0,0.0,88,5,Americas
169_Canada US_1988,2.0,1.0,1,169,2.0,0.0,2.0,1.0,2,1.0,2,1988,0.0,1.0,0.0,0.0,0.0,0.0,8,1,Americas
17_Algeria EC Euro-Med Association Agreement_2002,2.0,1.0,2,17,16.0,0.0,2.0,3.0,0,1.0,2,2002,1.0,0.0,0.0,1.0,1.0,0.0,26,2,Intercontinental
170_Canada US Automotive Products Trade Agreement (APTA)_1965,1.0,1.0,1,170,2.0,1.0,1.0,1.0,2,0.0,,1965,0.0,1.0,0.0,0.0,0.0,0.0,2,1,Americas
171_Caribbean Community (CARICOM)_1973,3.0,1.0,3,171,12.0,0.0,3.0,2.0,0,1.0,3,1973,0.0,1.0,0.0,0.0,0.0,0.0,3,1,Americas
172_Caribbean Community (CARICOM) Colombia_1994,1.0,1.0,3,172,14.0,0.0,1.0,3.0,0,0.0,,1994,0.0,1.0,0.0,0.0,0.0,0.0,7,1,Americas
173_Caribbean Community (CARICOM) Costa Rica_2004,1.0,1.0,3,173,15.0,0.0,1.0,3.0,1,0.0,,2004,0.0,1.0,0.0,0.0,0.0,0.0,10,1,Americas
174_Caribbean Community (CARICOM) Cuba_2000,1.0,1.0,3,174,15.0,0.0,1.0,3.0,0,0.0,,2000,0.0,1.0,0.0,0.0,0.0,0.0,8,1,Americas
175_Caribbean Community (CARICOM) Dominican Republic_1998,1.0,1.0,3,175,15.0,0.0,1.0,3.0,0,0.0,,1998,0.0,1.0,0.0,0.0,0.0,0.0,2,1,Americas
176_Caribbean Community (CARICOM) Protocol on Services_1997,,1.0,3,176,14.0,0.0,4.0,2.0,0,1.0,,1997,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
177_Caribbean Community (CARICOM) revised _2001,,1.0,3,177,14.0,0.0,3.0,2.0,0,0.0,,2001,0.0,1.0,0.0,0.0,0.0,0.0,53,4,Americas
178_Caribbean Community (CARICOM) Venezuela_1992,1.0,1.0,3,178,14.0,0.0,1.0,3.0,0,0.0,,1992,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
179_Caribbean Free Trade Association (CARIFTA)_1965,,1.0,3,179,3.0,0.0,2.0,2.0,0,0.0,,1965,0.0,1.0,0.0,0.0,0.0,0.0,3,1,Americas
18_Algeria Jordan_1997,2.0,1.0,3,18,2.0,0.0,2.0,1.0,0,0.0,,1997,1.0,0.0,1.0,0.0,1.0,0.0,1,1,Intercontinental
180_Caribbean Free Trade Association (CARIFTA)_1968,2.0,1.0,3,180,11.0,0.0,2.0,2.0,0,1.0,2,1968,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
181_CARIFORUM EC EPA_2008,,1.0,2,181,41.0,0.0,2.0,4.0,1,1.0,2,2008,0.0,1.0,0.0,1.0,1.0,0.0,84,4,Intercontinental
182_Central African Customs and Economic Union (UDEAC)_1964,3.0,1.0,3,182,5.0,0.0,3.0,2.0,0,0.0,,1964,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
183_Central America Chile_1999,,2.0,3,183,6.0,0.0,1.0,3.0,0,0.0,,1999,0.0,1.0,0.0,0.0,0.0,0.0,22,2,Americas
184_Central America Dominican Republic_1998,2.0,2.0,3,184,6.0,0.0,2.0,2.0,0,0.0,,1998,0.0,1.0,0.0,0.0,0.0,0.0,25,2,Americas
185_Central America Panama_2002,2.0,2.0,3,185,6.0,0.0,2.0,3.0,0,1.0,2,2002,0.0,1.0,0.0,0.0,0.0,0.0,28,2,Americas
186_Central American Common Market (CACM)_1960,3.0,1.0,3,186,4.0,0.0,3.0,2.0,0,1.0,3,1960,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
187_Central American Free Trade Agreement (CAFTA)_2004,,1.0,2,187,6.0,0.0,2.0,2.0,2,0.0,,2004,0.0,1.0,0.0,0.0,0.0,0.0,75,6,Americas
188_Agreement Secretariat Environmental Matters FTA_2006,,1.0,2,188,6.0,0.0,2.0,3.0,2,1.0,2,2006,0.0,1.0,0.0,0.0,0.0,0.0,8,2,Americas
188_Central American Free Trade Agreement (CAFTA) Dominican Republic_2004,2.0,1.0,2,188,7.0,0.0,2.0,3.0,2,1.0,2,2004,0.0,1.0,0.0,0.0,0.0,0.0,88,6,Americas
188_understanding establishment secretariat environmental matters CAFTA-DR_2005,,1.0,2,188,7.0,1.0,,3.0,2,0.0,,2005,0.0,1.0,0.0,0.0,0.0,0.0,3,2,Americas
189_Central American Free Trade Area (CAFTA)_1958,2.0,1.0,3,189,5.0,0.0,2.0,2.0,0,1.0,2,1958,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
19_Algeria Morocco_1989,,3.0,3,19,2.0,0.0,2.0,1.0,0,0.0,,1989,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
190_Central American Integration System_1991,,1.0,3,190,6.0,0.0,5.0,2.0,0,0.0,,1991,0.0,1.0,0.0,0.0,0.0,0.0,3,1,Americas
192_Central European Free Trade Agreement (CEFTA)_1992,,1.0,3,192,4.0,0.0,2.0,2.0,0,,,1992,0.0,0.0,0.0,1.0,0.0,0.0,4,1,Europe
192+1_Central European Free Trade Agreement (CEFTA) Slovenia accession_1995,4.0,1.0,3,192+1,5.0,0.0,2.0,5.0,0,1.0,2,1995,0.0,0.0,0.0,1.0,0.0,0.0,0,1,
192+2_Central European Free Trade Agreement (CEFTA) Romania accession_1997,4.0,1.0,3,192+2,6.0,0.0,2.0,5.0,0,1.0,2,1997,0.0,0.0,0.0,1.0,0.0,0.0,0,1,
192+3_Central European Free Trade Agreement (CEFTA) Bulgaria accession_1998,4.0,1.0,3,192+3,7.0,0.0,2.0,5.0,0,1.0,2,1998,0.0,0.0,0.0,1.0,0.0,0.0,0,1,
192+4_Central European Free Trade Agreement (CEFTA) Croatia accession_2002,4.0,1.0,3,192+4,8.0,0.0,2.0,5.0,0,1.0,2,2002,0.0,0.0,0.0,1.0,0.0,0.0,0,1,
193_Central European Free Trade Agreement (CEFTA)_2006,,1.0,3,193,10.0,0.0,2.0,2.0,0,1.0,2,2006,0.0,0.0,0.0,1.0,0.0,0.0,8,1,Europe
199_Chile China_2005,2.0,1.0,3,199,2.0,0.0,2.0,1.0,1,1.0,2,2005,0.0,1.0,1.0,0.0,1.0,0.0,30,2,Intercontinental
2_African Common Market_1962,,1.0,3,2,6.0,0.0,3.0,2.0,0,1.0,3,1962,1.0,0.0,0.0,0.0,0.0,0.0,0,1,Africa
20_Algeria Tunisia_2008,,4.0,3,20,2.0,0.0,1.0,1.0,0,0.0,,2008,1.0,0.0,0.0,0.0,0.0,0.0,3,1,Africa
200_Chile Colombia_1993,1.0,2.0,3,200,2.0,0.0,1.0,1.0,0,0.0,,1993,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
201_Chile Colombia_2006,2.0,2.0,3,201,2.0,0.0,2.0,1.0,1,1.0,2,2006,0.0,1.0,0.0,0.0,0.0,0.0,52,4,Americas
202_Chile EC_2002,2.0,1.0,2,202,16.0,0.0,2.0,3.0,0,1.0,2,2002,0.0,1.0,0.0,1.0,1.0,0.0,39,4,Intercontinental
203_Chile Ecuador_1994,1.0,2.0,3,203,2.0,0.0,1.0,1.0,0,0.0,,1994,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
204_Chile Ecuador_2008,,2.0,3,204,2.0,0.0,1.0,1.0,1,0.0,,2008,0.0,1.0,0.0,0.0,0.0,0.0,11,1,Americas
205_Chile_EFTA_2003,2.0,1.0,2,205,5.0,0.0,2.0,3.0,1,1.0,2,2003,0.0,1.0,0.0,1.0,1.0,0.0,16,1,Intercontinental
206_Chile India_2006,1.0,1.0,3,206,2.0,0.0,1.0,1.0,1,1.0,1,2006,0.0,1.0,1.0,0.0,1.0,0.0,7,1,Intercontinental
207_Chile Japan_2007,2.0,1.0,2,207,2.0,0.0,2.0,1.0,1,1.0,2,2007,0.0,1.0,1.0,0.0,1.0,0.0,14,1,Intercontinental
208_Chile Korea_2003,2.0,1.0,3,208,2.0,0.0,2.0,1.0,1,1.0,2,2003,0.0,1.0,1.0,0.0,1.0,0.0,39,2,Intercontinental
209_Chile MERCOSUR_1996,2.0,2.0,3,209,5.0,0.0,2.0,3.0,0,0.0,,1996,0.0,1.0,0.0,0.0,0.0,0.0,7,1,Americas
210_Chile MERCOSUR Protocol on Services_2009,,2.0,3,210,5.0,0.0,4.0,3.0,1,0.0,,2009,0.0,1.0,0.0,0.0,0.0,0.0,2,1,Americas
211_Chile Mexico_1991,1.0,2.0,3,211,2.0,0.0,1.0,1.0,0,0.0,,1991,0.0,1.0,0.0,0.0,0.0,0.0,3,1,Americas
212_Chile Mexico_1998,2.0,1.0,3,212,2.0,0.0,2.0,1.0,0,1.0,2,1998,0.0,1.0,0.0,0.0,0.0,0.0,35,2,Americas
213_Chile Panama_2006,,2.0,3,213,2.0,0.0,2.0,1.0,1,1.0,2,2006,0.0,1.0,0.0,0.0,0.0,0.0,12,1,Americas
215_Chile Peru_1998,2.0,2.0,3,215,2.0,0.0,2.0,1.0,0,0.0,,1998,0.0,1.0,0.0,0.0,0.0,0.0,11,1,Americas
216_Chile Turkey_2009,,2.0,3,216,2.0,0.0,2.0,1.0,1,1.0,,2009,0.0,1.0,1.0,0.0,1.0,0.0,36,3,Intercontinental
217_Chile Uruguay_1985,,2.0,3,217,2.0,0.0,1.0,1.0,0,0.0,,1985,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
218_Chile US_2003,2.0,1.0,2,218,2.0,0.0,2.0,1.0,2,1.0,2,2003,0.0,1.0,0.0,0.0,0.0,0.0,75,5,Americas
219_Chile Venezuela_1993,1.0,2.0,3,219,2.0,0.0,1.0,1.0,0,0.0,,1993,0.0,1.0,0.0,0.0,0.0,0.0,1,1,Americas
22_Andean Community Brazil_1999,1.0,2.0,3,22,5.0,0.0,1.0,3.0,0,0.0,,1999,0.0,1.0,0.0,0.0,0.0,0.0,6,1,Americas
220_China Hong Kong_2003,2.0,1.0,3,220,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,1.0,0.0,0.0,0.0,5,1,Asia
221_China Macao_2003,2.0,1.0,3,221,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,1.0,0.0,0.0,0.0,5,1,Asia
222_China_New_Zealand_2008,,1.0,2,222,2.0,0.0,2.0,1.0,0,1.0,2,2008,0.0,1.0,1.0,0.0,1.0,0.0,53,4,Intercontinental
224_China Pakistan_2006,2.0,1.0,3,224,2.0,0.0,2.0,1.0,0,1.0,2,2006,0.0,0.0,1.0,0.0,0.0,0.0,12,1,Asia
225_China Pakistan Services_2009,,1.0,3,225,2.0,0.0,4.0,1.0,0,1.0,2,2009,0.0,0.0,1.0,0.0,0.0,0.0,1,1,Asia
227_China Peru_2009,,1.0,3,227,2.0,0.0,2.0,1.0,1,1.0,2,2009,0.0,1.0,1.0,0.0,1.0,0.0,47,4,Intercontinental
228_China Singapore_2008,,1.0,3,228,2.0,0.0,2.0,1.0,1,1.0,2,2008,0.0,0.0,1.0,0.0,0.0,0.0,13,1,Asia
23_Andean Community Trujillo Protocol_1996,3.0,2.0,3,23,5.0,0.0,3.0,2.0,0,0.0,,1996,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
230_Colombia Costa Rica_1984,1.0,2.0,3,230,2.0,0.0,1.0,1.0,0,0.0,,1984,0.0,1.0,0.0,0.0,0.0,0.0,0,1,Americas
233_Colombia Cuba_2000,1.0,2.0,3,233,2.0,0.0,1.0,1.0,0,0.0,,2000,0.0,1.0,0.0,0.0,0.0,0.0,4,1,Americas
234_Colombia EFTA_2008,,1.0,2,234,5.0,0.0,2.0,3.0,1,1.0,,2008,0.0,1.0,0.0,1.0,1.0,0.0,42,2,Intercontinental
