Trade.Agreement,IAE,IAE_sum,IAE_factor
219_Chile Venezuela_1993,1,1,1
22_Andean Community Brazil_1999,1,1,1
220_China Hong Kong_2003,1,1,1
221_China Macao_2003,1,1,1
222_China_New_Zealand_2008,4,3,2
224_China Pakistan_2006,1,1,1
225_China Pakistan Services_2009,1,1,1
227_China Peru_2009,4,2,2
228_China Singapore_2008,1,1,1
23_Andean Community Trujillo Protocol_1996,1,1,1
230_Colombia Costa Rica_1984,1,1,1
233_Colombia Cuba_2000,1,1,1
234_Colombia EFTA_2008,2,2,2
235_Colombia El Salvador_1984,1,1,1
236_Colombia Guatemala_1984,1,1,1
237_Colombia  Honduras_1984,1,1,1
238_Colombia Nicaragua_1984,1,1,1
239_Colombia Northern Triangle_2007,2,2,1
24_Andean Countries Argentina_2000,1,1,1
240_Colombia Panama_1993,1,1,1
241_Colombia US_2006,6,4,4
242_Common Economic Zone_2003,1,1,1
243_Common Market for Eastern and Southern Africa (COMESA)_1993,4,3,3
244_Commonwealth of Independent States (CIS)_1994,1,1,1
247_Costa Rica Mexico_1982,1,1,1
248_Costa Rica Mexico_1994,3,2,2
249_Costa Rica Nicaragua Panama_1961,1,1,1
25_Andean Countries MERCOSUR_2004,1,1,1
25+1_Andean Countries MERCOSUR Venezuela accession_2006,1,1,1
250_Costa Rica Panama_1973,1,1,1
251_Costa Rica Venezuela_1986,1,1,1
252_Cote d'Ivoire EC EPA_2009,3,2,1
253_Cotonou Agreement_2000,4,2,2
254_Croatia EC_2001,1,1,1
255_Croatia EFTA_2001,1,1,1
257_Croatia Lithuania_2002,1,1,1
258_Croatia Macedonia_1997,1,1,1
259_Croatia Macedonia (amended)_2002,1,1,1
26_Andean Group Cartagena Agreement_1969,1,1,1
260_Croatia Moldova_2004,1,1,1
261_Croatia Serbia Montenegro_2002,1,1,1
262_Croatia Slovenia_1997,1,1,1
263_Croatia Turkey_2002,1,1,1
265_Cuba Ecuador_2000,1,1,1
266_Cuba Guatemala_1999,1,1,1
267_Cuba Mercosur_2006,1,1,1
268_Cuba Mexico_1985,1,1,1
269_Cuba Mexico_2000,1,1,1
27_Andean Group Quito Protocol_1987,3,1,1
270_Cuba Paraguay_2000,1,1,1
273_Cuba Peru_2000,1,1,1
275_Cuba Uruguay_1999,1,1,1
277_Cuba Venezuela_1999,1,1,1
278_Cyprus EC_1972,1,1,1
279_Czech and Slovak Republic EFTA_1992,1,1,1
28_Andorra EC_1990,1,1,1
280_Czech Republic EC_1993,2,2,1
282_Czech Republic Estonia_1996,1,1,1
283_Czech Republic Israel_1996,1,1,1
284_Czech Republic Latvia_1996,1,1,1
285_Czech Republic Lithuania_1995,1,1,1
286_Czech Republic Romania_1994,1,1,1
287_Czech Republic Slovakia_1992,1,1,1
288_Czech Republic Slovenia_1993,1,1,1
289_Czech Republic Turkey_1997,1,1,1
29_Arab Common Market_1964,1,1,1
290_Czechoslovakia Finland_1974,1,1,1
291_D8 PTA_2006,1,1,1
292_Dominican Republic Panama_1985,1,1,1
293_EC_1957,1,1,1
293+1_EC (9) Enlargement Conditions_1972,1,1,1
293+1_EC (9) Enlargement Greece Protocol_1975,1,1,1
293+1_EC (9) Enlargement_1972,1,1,1
293+2_EC (10) Enlargement_1979,1,1,1
293+3_EC (12) Enlargement_1987,1,1,1
3_African Economic Community_1991,2,2,1
30_Arab Maghreb Union_1989,1,1,1
300_EC Amsterdam_1997,4,2,2
302_EC Egypt_1977,1,1,1
303_EC Egypt Agreement_1972,1,1,1
304_EC Egypt Euro-Med Association Agreement_2001,3,2,1
305_EC Estonia_1994,1,1,1
306_EC Estonia Europe Agreement_1995,4,3,2
307_EC Faroe Islands_1996,1,1,1
308_EC Faroe Islands_1991,1,1,1
309_EC Finland_1972,1,1,1
310_EC Greece Additional Protocol_1975,1,1,1
311_EC Greece Association Agreement_1961,1,1,1
312_EC Hungary_1991,4,2,2
313_EC Iceland_1972,1,1,1
314_EC Israel_1970,1,1,1
315_EC Israel_1975,1,1,1
316_EC Israel Euro-Med Association Agreement_1995,2,2,1
317_EC Jordan_1977,1,1,1
318_EC Jordan Euro-Med Association Agreement_1997,2,1,1
319_EC Latvia_1994,1,1,1
32_Argentina Brazil_1986,1,1,1
320_EC Latvia Europe Agreement_1995,4,3,2
321_EC Lebanon_1972,1,1,1
322_EC Lebanon_1977,1,1,1
323_EC Lebanon Euro-Med Association Agreement_2002,2,2,1
324_EC Lisbon_2007,3,2,1
325_EC Lithuania_1994,1,1,1
326_EC Lithuania Europe Agreement_1995,4,3,2
327_EC Maastricht_1992,3,2,2
327+1_EC Maastricht (15) Enlargement_1994,3,2,2
328_EC Macedonia SAA_2001,2,2,2
329_EC Malta_1970,1,1,1
33_Argentina Brazil_1988,1,1,1
330_EC Mexico_2000,1,1,1
331_EC Montenegro SAA_2007,2,2,2
332_EC Morocco_1976,1,1,1
333_EC Morocco Association Agreement_1969,1,1,1
334_EC Morocco Euro-Med Association Agreement_1996,3,1,1
335_EC Nice_2001,4,2,2
335+1_EC Nice (25) Enlargement_2003,1,1,1
335+2_EC Nice (27) Enlargement_2005,3,1,1
335+3_EC (28) Enlargement_2011,3,1,1
336_EC Norway_1973,1,1,1
337_EC Poland_1991,4,2,2
338_EC Portugal_1972,1,1,1
339_EC Portugal Additional Protocol_1976,1,1,1
34_Argentina Brazil_1990,1,1,1
340_EC Romania_1993,3,2,2
341_EC San Marino_1991,1,1,1
342_EC Serbia SAA_2008,2,2,2
343_EC Single European Act_1986,3,2,2
344_EC Slovakia_1993,4,2,2
345_EC Slovenia_1993,1,1,1
346_EC Slovenia Europe Agreement_1996,3,3,2
347_EC South Africa_1999,4,2,2
348_EC Spain_1970,1,1,1
349_EC Sweden_1972,1,1,1
35_Argentina Chile_1991,1,1,1
350_EC Switzerland Liechtenstein_1972,1,1,1
351_EC Syria_1977,1,1,1
352_EC Tunisia_1976,1,1,1
353_EC Tunisia Association Agreement_1969,1,1,1
354_EC Tunisia Euro-Med Association Agreement_1995,3,1,1
355_EC Turkey_1995,1,1,1
356_EC Turkey Additional Protocol_1970,1,1,1
357_EC Turkey Association Agreement (Ankara Agreement)_1963,1,1,1
358_EC Turkey Supplementary Protocol_1973,1,1,1
359_EC Yugoslavia_1980,1,1,1
36_Argentina Colombia_1988,1,1,1
360_Economic and Monetary Community of Central Africa (CEMAC)_1994,2,2,1
361_Economic and Monetary Community of Central Africa (CEMAC) revised_2008,1,1,1
363_Economic Community of Central African States (ECCAS-CEEAC)_1983,3,1,1
366_Economic Community Of West African States (ECOWAS)_1975,1,1,1
367_Economic Community Of West African States (ECOWAS)_1993,2,2,1
370_Economic Cooperation Organization (ECO) Preferences_1991,1,1,1
371_Economic Cooperation Organization Trade Agreement (ECOTA)_2003,1,1,1
372_Ecuador Mexico_1993,1,1,1
373_Ecuador Paraguay_1994,1,1,1
374_Ecuador Uruguay_1994,1,1,1
375_EFTA_1960,1,1,1
375+1_EFTA Iceland accession_1969,1,1,1
375+2_EFTA Annex H_1996,1,1,1
376_EFTA Egypt_2007,2,2,1
377_EFTA Estonia_1995,1,1,1
379_EFTA GCC_2009,1,1,1
380_EFTA Hungary_1993,1,1,1
382_EFTA Israel_1992,1,1,1
383_EFTA Jordan_2001,1,1,1
384_EFTA Korea_2005,2,2,1
385_EFTA Latvia_1995,1,1,1
386_EFTA Lebanon_2004,1,1,1
388_EFTA Lithuania_1995,1,1,1
389_EFTA Macedonia_2000,1,1,1
39_Argentina Cuba_1999,1,1,1
390_EFTA Mexico_2000,1,1,1
391_EFTA Morocco_1997,1,1,1
392_EFTA Poland_1992,1,1,1
393_EFTA Romania_1992,1,1,1
394_EFTA Serbia_2009,1,1,1
395_EFTA services_2001,3,2,2
396_EFTA Singapore_2002,3,2,1
398_EFTA Slovenia_1995,1,1,1
399_EFTA Southern African Customs Union (SACU)_2006,2,2,1
4_Agadir Agreement_2004,1,1,1
40_Argentina Ecuador_1984,1,1,1
400_EFTA Spain_1979,1,1,1
401_EFTA Tunisia_2004,2,2,1
402_EFTA Turkey_1991,1,1,1
404_Egypt Jordan_1998,1,1,1
405_Egypt Jordan_1996,1,1,1
406_Egypt Jordan _1967,1,1,1
41_Argentina Ecuador_1993,1,1,1
410_Egypt Morocco_1998,1,1,1
412_Egypt PLO_1998,1,1,1
413_Egypt Syria_1991,1,1,1
415_Egypt Turkey_2005,1,1,1
416_El Salvador Honduras Taiwan_2007,3,2,2
417_El Salvador Mexico_1986,1,1,1
418_El Salvador Nicaragua Free Trade Area_1951,1,1,1
419_El Salvador Panama_1970,1,1,1
421_El Salvador Venezuela_1986,1,1,1
422_Equatorial Customs Union_1959,1,1,1
422+1_Equatorial Customs Union Cameroon Accession_1961,1,1,1
424_Estonia Faroe Islands_1997,1,1,1
425_Estonia Finland_1992,1,1,1
426_Estonia Hungary_1998,1,1,1
427_Estonia Norway_1992,1,1,1
428_Estonia Slovakia_1996,1,1,1
429_Estonia Slovenia_1996,1,1,1
43_Argentina Mexico_1986,1,1,1
430_Estonia Sweden_1991,1,1,1
431_Estonia Switzerland_1992,1,1,1
432_Estonia Turkey_1997,1,1,1
433_Estonia Ukraine_1995,1,1,1
434_Eurasian Economic Community (EAEC)_1999,1,1,1
436_European Coal and Steel Community_1951,1,1,1
437_European Economic Area (EEA)_1992,4,2,2
438_Faroe Islands Iceland_1992,1,1,1
439_Faroe Islands Iceland_2005,1,1,1
440_Faroe Islands Norway_1992,1,1,1
441_Faroe Islands Poland_1998,1,1,1
443_Faroe Islands Switzerland_1992,1,1,1
445_EFTA Finland_1961,1,1,1
446_Finland German Democratic Republic_1975,1,1,1
447_Finland Hungary_1974,1,1,1
448_Finland Latvia_1992,1,1,1
449_Finland Lithuania_1992,1,1,1
44a_Argentina Mexico_1989,1,1,1
45_Argentina Paraguay_1989,1,1,1
450_Finland Poland_1976,1,1,1
452_France Monaco_1963,1,1,1
453_France Tunisia Customs Union Convention_1955,1,1,1
454_Georgia Kazakhstan_1997,1,1,1
455_Georgia Russia_1994,1,1,1
456_Georgia Turkey_2007,1,1,1
457_Georgia Turkmenistan_1996,1,1,1
458_Georgia Ukraine_1995,1,1,1
46_Argentina Peru_1988,1,1,1
460_Ghana Upper Volta Trade Agreement_1961,1,1,1
461_Global System of Trade Preferences (GSTP)_1988,1,1,1
462_Greater Arab Free Trade Agreement_1997,1,1,1
464_Group of Three_1994,3,2,2
464+1_Group of three_2011,1,1,1
465_Group of Three Auto Agreement_2004,1,1,1
466_GUAM GUUAM Organization for Democracy and Economic Development_2002,1,1,1
467_Guatemala Mexico_1984,1,1,1
468_Guatemala Mexico_1999,1,1,1
469_Guatemala Panama_1974,1,1,1
47_Argentina Uruguay_2003,1,1,1
470_Guatemala Taiwan_2005,4,2,2
471_Guatemala Venezuela_1985,1,1,1
473_Gulf Cooperation Council (GCC)_1981,1,1,1
474_Gulf Cooperation Council (GCC)_2001,1,1,1
475_Gulf Cooperation Council (GCC) Singapore_2008,1,1,1
476_Guyana Venezuela_1990,1,1,1
477_Honduras Mexico_1984,1,1,1
478_Honduras Panama_1973,1,1,1
48_Argentina Venezuela_1986,1,1,1
480_Honduras Venezuela_1986,1,1,1
481_Hungary Israel_1997,1,1,1
482_Hungary Latvia_1999,1,1,1
483_Hungary Lithuania_1998,1,1,1
487_Hungary Slovenia_1994,1,1,1
488_Hungary Turkey_1997,1,1,1
489_India Korea_2009,2,2,2
49_Argentina Venezuela_1992,1,1,1
490_India MERCOSUR_2004,1,1,1
491_India Nepal_1991,1,1,1
492_India Nepal_2009,1,1,1
493_India Singapore_2005,2,2,1
494_India Sri Lanka_1998,1,1,1
495_Indonesia Japan_2007,2,2,2
496_Inter-Arab Trade Agreement_1981,1,1,1
497_Iran Pakistan_2004,1,1,1
498_Iran Syria_2006,1,1,1
5_Albania Bosnia and Herzegovina_2003,1,1,1
500_Iraq Jordan_1953,1,1,1
504_Iraq UAE_1977,1,1,1
505_Ireland UK Free Trade Area_1965,1,1,1
506_Israel Jordan_1995,1,1,1
508_Israel Mercosur_2007,1,1,1
509_Israel Mexico_2000,1,1,1
51_Armenia Estonia_2002,1,1,1
510_Israel PLO_1994,2,2,2
511_Israel Poland_1997,1,1,1
512_Israel Romania_2001,1,1,1
513_Israel Slovakia_1996,1,1,1
514_Israel Slovenia_1998,1,1,1
515_Israel Turkey_1996,1,1,1
516_Israel US_1985,1,1,1
517_Japan Malaysia_2005,2,2,2
518_Japan Mexico_2004,2,2,2
519_Japan Philippines_2006,2,2,2
52_Armenia Georgia_1995,1,1,1
520_Japan Singapore_2002,1,1,1
521_Japan Switzerland_2009,3,2,2
522_Japan Thailand_2007,2,2,2
523_Japan Vietnam_2008,2,2,1
524_Jordan Kuwait_2001,1,1,1
525_Jordan Kuwait _1986,1,1,1
526_Jordan Lebanon_1992,1,1,1
527_Jordan Lebanon_2002,1,1,1
528_Jordan Libya_1992,1,1,1
529_Jordan Morocco_1994,1,1,1
53_Armenia Iran_1995,1,1,1
530_Jordan Morocco_1998,1,1,1
531_Jordan PLO_1995,1,1,1
532_Jordan Qatar_1980,1,1,1
533_Jordan Saudi Arabia_1962,1,1,1
534_Jordan Singapore_2004,1,1,1
535_Jordan Sudan_2003,1,1,1
536_Jordan Sudan_1966,1,1,1
537_Jordan Syria_2001,1,1,1
538_Jordan Syria_1965,1,1,1
539_Jordan Syria_1975,1,1,1
54_Armenia Kazakhstan_1999,1,1,1
540_Jordan Tunisia_1998,1,1,1
541_Jordan Turkey_2009,1,1,1
542_Jordan UAE_2000,1,1,1
543_Jordan US_2000,3,2,2
544_Kazakhstan Kyrgyzstan_1995,1,1,1
548_Kazakhstan Ukraine_1994,1,1,1
55_Armenia Kyrgyzstan_1994,1,1,1
550_Korea Singapore_2005,2,2,1
551_Korea US_2007,5,4,4
554_Kuwait UAE_1972,1,1,1
555_Kyrgyzstan Moldova_1995,1,1,1
556_Kyrgyzstan Russia_1992,1,1,1
558_Kyrgyzstan Ukraine_1995,1,1,1
559_Kyrgyzstan Uzbekistan_1996,1,1,1
56_Armenia Moldova_1993,1,1,1
560_Laos Thailand_1991,1,1,1
561_Latin American Free Trade Area (LAFTA)_1960,1,1,1
562_Latin American Integration Association (ALADI LAIA)_1980,1,1,1
562+1_Latin American Integration Association Cuba accession_1998,1,1,1
564_Latvia Norway_1992,1,1,1
565_Latvia Poland_1997,1,1,1
566_Latvia Slovakia_1996,1,1,1
567_Latvia Slovenia_1996,1,1,1
568_Latvia Sweden_1992,1,1,1
569_Latvia Switzerland_1992,1,1,1
57_Armenia Russia_1992,1,1,1
570_Latvia Turkey_1998,1,1,1
574_Libya Morocco_1990,1,1,1
576_Lithuania Norway_1992,1,1,1
577_Lithuania Poland_1996,1,1,1
578_Lithuania Slovakia_1996,1,1,1
579_Lithuania Slovenia_1996,1,1,1
580_Lithuania Sweden_1991,1,1,1
581_Lithuania Switzerland_1992,1,1,1
582_Lithuania Turkey_1997,1,1,1
584_Lomé I_1975,1,1,1
585_Lomé II_1979,2,2,1
586_Lomé III_1984,3,2,2
587_Lomé IV_1989,5,3,3
589_Macedonia Moldova_2004,1,1,1
59_Armenia Turkmenistan_1995,1,1,1
590_Macedonia Romania_2003,1,1,1
592_Macedonia Slovenia_1996,1,1,1
593_Macedonia Turkey_1999,1,1,1
594_Macedonia Ukraine_2001,1,1,1
595_Malawi Mozambique_2005,1,1,1
598_Malaysia New Zealand_2009,4,3,3
599_Malaysia Pakistan_2007,3,2,1
6_Albania Bulgaria_2003,1,1,1
60_Armenia Ukraine_1994,1,1,1
600_Mano River Union_1973,1,1,1
601_Mauritania Morocco_1986,1,1,1
602_Mauritius Pakistan_2007,1,1,1
603_Melanesian Spearhead Group (MSG )_1993,1,1,1
604_MERCOSUR_1991,1,1,1
605_MERCOSUR Mexico Auto Agreement_2002,1,1,1
606_MERCOSUR Peru_2005,1,1,1
607_MERCOSUR services_1997,1,1,1
608_MERCOSUR Southern African Customs Union (SACU)_2004,1,1,1
61_Arusha Agreement II_1969,1,1,1
610_Mexico Nicaragua_1985,1,1,1
611_Mexico Nicaragua_1997,2,2,2
612_Mexico_Northern_Triangle_2000,4,2,2
613_Mexico Panama_1985,1,1,1
615_Mexico Uruguay_1986,1,1,1
616_Mexico Uruguay_2003,2,2,1
617_Moldova Romania_1994,1,1,1
619_Moldova Serbia_2003,1,1,1
62_Asia Pacific Trade Agreement (Bangkok Agreement amended)_2005,1,1,1
621_Moldova Ukraine_2003,1,1,1
624_Montenegro Turkey_2008,1,1,1
625_Morocco Tunisia_1999,1,1,1
626_Morocco Turkey_2004,1,1,1
627_Morocco UAE_2001,1,1,1
628_Morocco US_2004,5,3,3
63_Association of Caribbean States_1994,2,1,1
630_Namibia Zimbabwe_1992,1,1,1
631_New Zealand Singapore_2000,1,2,1
632_New Zealand Thailand_2005,4,3,2
633_Nicaragua Panama_1973,1,1,1
634_Nicaragua Taiwan_2006,5,3,3
635_Nicaragua Venezuela_1986,1,1,1
636_North American Free Trade Agreement (NAFTA)_1992,6,4,4
637_Oman US_2006,5,3,3
638_Organisation of Eastern Caribbean States (OECS)_1981,1,1,1
639_Pacific Island Countries Trade Agreement (PICTA )_2001,1,1,1
64_Association of Southeast Asian Nations (ASEAN) FTA_1992,1,1,1
640_Pakistan Sri Lanka_2002,1,1,1
641_Panama Singapore_2006,2,2,1
642_Panama Taiwan_2003,3,2,2
643_Panama US_2007,5,4,4
644_Peru Singapore_2008,2,2,1
645_Peru US_2006,6,4,5
646_Poland Turkey_1999,1,1,1
647_Protocol on Trade Negotiations (PTN)_1971,1,1,1
648_Romania Serbia_2003,1,1,1
649_Romania Slovakia_1994,1,1,1
65_Association of Southeast Asian Nations (ASEAN) Preferential Trading Arrangements (PTA)_1977,1,1,1
650_Romania Turkey_1997,1,1,1
654_Russia Ukraine_1993,1,1,1
656_Saudi Arabia UAE_1978,1,1,1
657_Serbia Turkey_2009,1,1,1
658_Singapore US_2003,5,3,3
659_Slovakia Slovenia_1993,1,1,1
66_Association of Southeast Asian Nations Australia New Zealand FTA (AANZFTA)_2009,4,2,2
660_Slovakia Turkey_1997,1,1,1
661_Slovenia Turkey_1998,1,1,1
663_South Africa Southern Rhodesia Customs Union_1948,1,1,1
664_South Africa Zimbabwe_1964,1,1,1
"666_South Asian Association for Regional Cooperation, Preferential Trading Arrangement (SAPTA)_1993",1,1,1
667_South Asian Free Trade Area (SAFTA)_2004,1,1,1
668_South Pacific Trade and Economic Co Operation Agreement (SPARTECA )_1980,1,1,1
669_Southern Africa Customs Union (SACU)_1969,1,1,1
67_Association of Southeast Asian Nations China_2004,1,1,1
670_Southern Africa Customs Union (SACU)_2002,1,1,1
671_Southern African Development Community (SADC)_1992,1,1,1
672_Southern African Development Community (SADC)_1996,1,1,1
675_Syria Turkey_2004,1,1,1
677_Tajikistan Ukraine_2001,1,1,1
679_Trans Pacific Strategic EPA_2005,4,3,2
68_Association of Southeast Asian Nations China Services_2007,1,1,1
680_Treaty of Economic Association_1960,1,1,1
681_Trinidad and Tobago Venezuela_1989,1,1,1
682_Tripartite Agreement_1967,1,1,1
683_Tunisia Turkey_2004,1,1,1
684_Turkmenistan Ukraine_1994,1,1,1
686_Ukraine Uzbekistan_1994,1,1,1
687_United States Vietnam_2000,1,1,1
688_West African Economic and Monetary Union_1994,1,1,1
689_Yaoundé I_1963,1,1,1
69_Association of Southeast Asian Nations Goods_2009,1,1,1
690_Yaoundé II_1969,1,1,1
693_Andean Community Auto Agreement_1999,1,1,1
694_Andean Community Sucre Protocol_1997,1,1,1
697_Argentina Uruguay_1984,1,1,1
698_Argentina Uruguay CAUCE_1974,1,1,1
699_Argentina Uruguay_1982,1,1,1
7_Albania Croatia_2002,1,1,1
70_Association of Southeast Asian Nations India_2009,3,1,1
700_Arusha Agreement I_1968,1,1,1
706_Benelux Economic Union_1958,1,1,1
71_Association of Southeast Asian Nations Japan_2008,3,1,1
714_Central American Common Market (CACM) Protocol of Guatemala_1993,1,1,1
715_Chile Cuba_1999,1,1,1
716_Chile Peru_2006,2,2,1
72_Association of Southeast Asian Nations Korea_2006,2,1,1
